from,to,community,graphName
0,1,0,art10
0,2,0,art10
0,3,0,art10
0,4,0,art10
0,5,0,art10
0,6,0,art10
101,102,1,art10
101,103,1,art10
101,104,1,art10
101,105,1,art10
101,106,1,art10
101,107,1,art10
102,1,1,art10
201,208,2,art10
201,209,2,art10
202,208,2,art10
202,209,2,art10
203,208,2,art10
203,209,2,art10
204,208,2,art10
204,209,2,art10
205,208,2,art10
205,209,2,art10
206,208,2,art10
206,209,2,art10
207,208,2,art10
207,209,2,art10
201,1,2,art10
301,308,3,art10
301,309,3,art10
302,308,3,art10
302,309,3,art10
303,308,3,art10
303,309,3,art10
304,308,3,art10
304,309,3,art10
305,308,3,art10
305,309,3,art10
306,308,3,art10
306,309,3,art10
307,308,3,art10
307,309,3,art10
301,2,3,art10
401,405,4,art10
401,406,4,art10
401,407,4,art10
402,405,4,art10
402,406,4,art10
402,407,4,art10
403,405,4,art10
403,406,4,art10
403,407,4,art10
404,405,4,art10
404,406,4,art10
404,407,4,art10
401,2,4,art10
501,509,5,art10
502,509,5,art10
503,509,5,art10
504,509,5,art10
505,509,5,art10
506,509,5,art10
507,509,5,art10
508,509,5,art10
501,3,5,art10
601,610,6,art10
602,610,6,art10
603,610,6,art10
604,610,6,art10
605,610,6,art10
606,610,6,art10
607,610,6,art10
608,610,6,art10
609,610,6,art10
601,3,6,art10
701,705,7,art10
701,706,7,art10
702,705,7,art10
702,706,7,art10
703,705,7,art10
703,706,7,art10
704,705,7,art10
704,706,7,art10
701,4,7,art10
801,803,8,art10
801,804,8,art10
802,803,8,art10
802,804,8,art10
801,4,8,art10
901,902,9,art10
901,903,9,art10
902,903,9,art10
901,5,9,art10
1001,1002,10,art10
1001,1003,10,art10
1001,1004,10,art10
1001,1005,10,art10
1001,1006,10,art10
1001,1007,10,art10
1001,1008,10,art10
1001,1009,10,art10
1001,1010,10,art10
1001,1011,10,art10
1002,1003,10,art10
1002,1004,10,art10
1002,1005,10,art10
1002,1006,10,art10
1002,1007,10,art10
1002,1008,10,art10
1002,1009,10,art10
1002,1010,10,art10
1002,1011,10,art10
1003,1004,10,art10
1003,1005,10,art10
1003,1006,10,art10
1003,1007,10,art10
1003,1008,10,art10
1003,1009,10,art10
1003,1010,10,art10
1003,1011,10,art10
1004,1005,10,art10
1004,1006,10,art10
1004,1007,10,art10
1004,1008,10,art10
1004,1009,10,art10
1004,1010,10,art10
1004,1011,10,art10
1005,1006,10,art10
1005,1007,10,art10
1005,1008,10,art10
1005,1009,10,art10
1005,1010,10,art10
1005,1011,10,art10
1006,1007,10,art10
1006,1008,10,art10
1006,1009,10,art10
1006,1010,10,art10
1006,1011,10,art10
1007,1008,10,art10
1007,1009,10,art10
1007,1010,10,art10
1007,1011,10,art10
1008,1009,10,art10
1008,1010,10,art10
1008,1011,10,art10
1009,1010,10,art10
1009,1011,10,art10
1010,1011,10,art10
1001,5,10,art10
1101,1102,11,art10
1101,1103,11,art10
1101,1104,11,art10
1101,1105,11,art10
1101,1106,11,art10
1101,1107,11,art10
1102,1103,11,art10
1102,1104,11,art10
1102,1105,11,art10
1102,1106,11,art10
1102,1107,11,art10
1103,1104,11,art10
1103,1105,11,art10
1103,1106,11,art10
1103,1107,11,art10
1104,1105,11,art10
1104,1106,11,art10
1104,1107,11,art10
1105,1106,11,art10
1105,1107,11,art10
1106,1107,11,art10
1101,6,11,art10
1201,1202,12,art10
1201,1203,12,art10
1201,1204,12,art10
1201,1205,12,art10
1202,1203,12,art10
1202,1204,12,art10
1202,1205,12,art10
1203,1204,12,art10
1203,1205,12,art10
1204,1205,12,art10
1201,6,12,art10
