from,to,community,graphName
0,1,0,art17
0,2,0,art17
0,3,0,art17
0,4,0,art17
0,5,0,art17
0,6,0,art17
101,102,1,art17
101,103,1,art17
101,104,1,art17
101,105,1,art17
102,1,1,art17
201,202,2,art17
201,203,2,art17
201,204,2,art17
201,205,2,art17
202,1,2,art17
301,302,3,art17
301,303,3,art17
301,304,3,art17
301,305,3,art17
302,2,3,art17
401,402,4,art17
401,403,4,art17
401,404,4,art17
401,405,4,art17
402,2,4,art17
501,502,5,art17
501,503,5,art17
501,504,5,art17
501,505,5,art17
502,3,5,art17
601,602,6,art17
601,603,6,art17
601,604,6,art17
601,605,6,art17
602,3,6,art17
701,702,7,art17
701,703,7,art17
701,704,7,art17
701,705,7,art17
702,4,7,art17
801,802,8,art17
801,803,8,art17
801,804,8,art17
801,805,8,art17
802,4,8,art17
901,902,9,art17
901,903,9,art17
901,904,9,art17
901,905,9,art17
902,5,9,art17
1001,1002,10,art17
1001,1003,10,art17
1001,1004,10,art17
1001,1005,10,art17
1002,5,10,art17
1101,1102,11,art17
1101,1103,11,art17
1101,1104,11,art17
1101,1105,11,art17
1102,6,11,art17
1201,1202,12,art17
1201,1203,12,art17
1201,1204,12,art17
1201,1205,12,art17
1202,6,12,art17
