from,to,community,graphName
0,1,0,art13
0,2,0,art13
0,3,0,art13
0,4,0,art13
0,5,0,art13
0,6,0,art13
101,102,1,art13
101,103,1,art13
101,104,1,art13
101,105,1,art13
101,106,1,art13
101,107,1,art13
101,108,1,art13
101,109,1,art13
101,110,1,art13
102,1,1,art13
201,204,2,art13
201,205,2,art13
201,206,2,art13
201,207,2,art13
201,208,2,art13
202,204,2,art13
202,205,2,art13
202,206,2,art13
202,207,2,art13
202,208,2,art13
203,204,2,art13
203,205,2,art13
203,206,2,art13
203,207,2,art13
203,208,2,art13
204,1,2,art13
301,302,3,art13
301,303,3,art13
301,304,3,art13
301,305,3,art13
301,306,3,art13
301,307,3,art13
301,308,3,art13
301,309,3,art13
301,310,3,art13
302,2,3,art13
401,404,4,art13
401,405,4,art13
401,406,4,art13
401,407,4,art13
401,408,4,art13
402,404,4,art13
402,405,4,art13
402,406,4,art13
402,407,4,art13
402,408,4,art13
403,404,4,art13
403,405,4,art13
403,406,4,art13
403,407,4,art13
403,408,4,art13
404,2,4,art13
501,502,5,art13
501,503,5,art13
501,504,5,art13
501,505,5,art13
501,506,5,art13
501,507,5,art13
501,508,5,art13
501,509,5,art13
501,510,5,art13
502,3,5,art13
601,604,6,art13
601,605,6,art13
601,606,6,art13
601,607,6,art13
601,608,6,art13
602,604,6,art13
602,605,6,art13
602,606,6,art13
602,607,6,art13
602,608,6,art13
603,604,6,art13
603,605,6,art13
603,606,6,art13
603,607,6,art13
603,608,6,art13
604,3,6,art13
701,702,7,art13
701,703,7,art13
701,704,7,art13
701,705,7,art13
701,706,7,art13
701,707,7,art13
701,708,7,art13
701,709,7,art13
701,710,7,art13
702,4,7,art13
801,804,8,art13
801,805,8,art13
801,806,8,art13
801,807,8,art13
801,808,8,art13
802,804,8,art13
802,805,8,art13
802,806,8,art13
802,807,8,art13
802,808,8,art13
803,804,8,art13
803,805,8,art13
803,806,8,art13
803,807,8,art13
803,808,8,art13
804,4,8,art13
901,902,9,art13
901,903,9,art13
901,904,9,art13
901,905,9,art13
901,906,9,art13
901,907,9,art13
901,908,9,art13
901,909,9,art13
901,910,9,art13
902,5,9,art13
1001,1004,10,art13
1001,1005,10,art13
1001,1006,10,art13
1001,1007,10,art13
1001,1008,10,art13
1002,1004,10,art13
1002,1005,10,art13
1002,1006,10,art13
1002,1007,10,art13
1002,1008,10,art13
1003,1004,10,art13
1003,1005,10,art13
1003,1006,10,art13
1003,1007,10,art13
1003,1008,10,art13
1004,5,10,art13
1101,1102,11,art13
1101,1103,11,art13
1101,1104,11,art13
1101,1105,11,art13
1101,1106,11,art13
1101,1107,11,art13
1101,1108,11,art13
1101,1109,11,art13
1101,1110,11,art13
1102,6,11,art13
1201,1204,12,art13
1201,1205,12,art13
1201,1206,12,art13
1201,1207,12,art13
1201,1208,12,art13
1202,1204,12,art13
1202,1205,12,art13
1202,1206,12,art13
1202,1207,12,art13
1202,1208,12,art13
1203,1204,12,art13
1203,1205,12,art13
1203,1206,12,art13
1203,1207,12,art13
1203,1208,12,art13
1204,6,12,art13
