from,to,community,graphName
0,1,0,art4
0,2,0,art4
0,3,0,art4
0,4,0,art4
0,5,0,art4
0,6,0,art4
101,102,1,art4
101,103,1,art4
101,104,1,art4
101,105,1,art4
101,106,1,art4
101,107,1,art4
101,108,1,art4
102,103,1,art4
102,104,1,art4
102,105,1,art4
102,106,1,art4
102,107,1,art4
102,108,1,art4
103,104,1,art4
103,105,1,art4
103,106,1,art4
103,107,1,art4
103,108,1,art4
104,105,1,art4
104,106,1,art4
104,107,1,art4
104,108,1,art4
105,106,1,art4
105,107,1,art4
105,108,1,art4
106,107,1,art4
106,108,1,art4
107,108,1,art4
101,1,1,art4
201,202,2,art4
201,203,2,art4
201,204,2,art4
201,205,2,art4
201,206,2,art4
201,207,2,art4
201,208,2,art4
202,203,2,art4
202,204,2,art4
202,205,2,art4
202,206,2,art4
202,207,2,art4
202,208,2,art4
203,204,2,art4
203,205,2,art4
203,206,2,art4
203,207,2,art4
203,208,2,art4
204,205,2,art4
204,206,2,art4
204,207,2,art4
204,208,2,art4
205,206,2,art4
205,207,2,art4
205,208,2,art4
206,207,2,art4
206,208,2,art4
207,208,2,art4
201,1,2,art4
301,302,3,art4
301,303,3,art4
301,304,3,art4
301,305,3,art4
301,306,3,art4
301,307,3,art4
301,308,3,art4
302,303,3,art4
302,304,3,art4
302,305,3,art4
302,306,3,art4
302,307,3,art4
302,308,3,art4
303,304,3,art4
303,305,3,art4
303,306,3,art4
303,307,3,art4
303,308,3,art4
304,305,3,art4
304,306,3,art4
304,307,3,art4
304,308,3,art4
305,306,3,art4
305,307,3,art4
305,308,3,art4
306,307,3,art4
306,308,3,art4
307,308,3,art4
301,2,3,art4
401,402,4,art4
401,403,4,art4
401,404,4,art4
401,405,4,art4
401,406,4,art4
401,407,4,art4
401,408,4,art4
402,403,4,art4
402,404,4,art4
402,405,4,art4
402,406,4,art4
402,407,4,art4
402,408,4,art4
403,404,4,art4
403,405,4,art4
403,406,4,art4
403,407,4,art4
403,408,4,art4
404,405,4,art4
404,406,4,art4
404,407,4,art4
404,408,4,art4
405,406,4,art4
405,407,4,art4
405,408,4,art4
406,407,4,art4
406,408,4,art4
407,408,4,art4
401,2,4,art4
501,502,5,art4
501,503,5,art4
501,504,5,art4
501,505,5,art4
501,506,5,art4
501,507,5,art4
501,508,5,art4
502,503,5,art4
502,504,5,art4
502,505,5,art4
502,506,5,art4
502,507,5,art4
502,508,5,art4
503,504,5,art4
503,505,5,art4
503,506,5,art4
503,507,5,art4
503,508,5,art4
504,505,5,art4
504,506,5,art4
504,507,5,art4
504,508,5,art4
505,506,5,art4
505,507,5,art4
505,508,5,art4
506,507,5,art4
506,508,5,art4
507,508,5,art4
501,3,5,art4
601,602,6,art4
601,603,6,art4
601,604,6,art4
601,605,6,art4
601,606,6,art4
601,607,6,art4
601,608,6,art4
602,603,6,art4
602,604,6,art4
602,605,6,art4
602,606,6,art4
602,607,6,art4
602,608,6,art4
603,604,6,art4
603,605,6,art4
603,606,6,art4
603,607,6,art4
603,608,6,art4
604,605,6,art4
604,606,6,art4
604,607,6,art4
604,608,6,art4
605,606,6,art4
605,607,6,art4
605,608,6,art4
606,607,6,art4
606,608,6,art4
607,608,6,art4
601,3,6,art4
701,702,7,art4
701,703,7,art4
701,704,7,art4
701,705,7,art4
701,706,7,art4
701,707,7,art4
701,708,7,art4
702,703,7,art4
702,704,7,art4
702,705,7,art4
702,706,7,art4
702,707,7,art4
702,708,7,art4
703,704,7,art4
703,705,7,art4
703,706,7,art4
703,707,7,art4
703,708,7,art4
704,705,7,art4
704,706,7,art4
704,707,7,art4
704,708,7,art4
705,706,7,art4
705,707,7,art4
705,708,7,art4
706,707,7,art4
706,708,7,art4
707,708,7,art4
701,4,7,art4
801,802,8,art4
801,803,8,art4
801,804,8,art4
801,805,8,art4
801,806,8,art4
801,807,8,art4
801,808,8,art4
802,803,8,art4
802,804,8,art4
802,805,8,art4
802,806,8,art4
802,807,8,art4
802,808,8,art4
803,804,8,art4
803,805,8,art4
803,806,8,art4
803,807,8,art4
803,808,8,art4
804,805,8,art4
804,806,8,art4
804,807,8,art4
804,808,8,art4
805,806,8,art4
805,807,8,art4
805,808,8,art4
806,807,8,art4
806,808,8,art4
807,808,8,art4
801,4,8,art4
901,902,9,art4
901,903,9,art4
901,904,9,art4
901,905,9,art4
901,906,9,art4
901,907,9,art4
901,908,9,art4
902,903,9,art4
902,904,9,art4
902,905,9,art4
902,906,9,art4
902,907,9,art4
902,908,9,art4
903,904,9,art4
903,905,9,art4
903,906,9,art4
903,907,9,art4
903,908,9,art4
904,905,9,art4
904,906,9,art4
904,907,9,art4
904,908,9,art4
905,906,9,art4
905,907,9,art4
905,908,9,art4
906,907,9,art4
906,908,9,art4
907,908,9,art4
901,5,9,art4
1001,1002,10,art4
1001,1003,10,art4
1001,1004,10,art4
1001,1005,10,art4
1001,1006,10,art4
1001,1007,10,art4
1001,1008,10,art4
1002,1003,10,art4
1002,1004,10,art4
1002,1005,10,art4
1002,1006,10,art4
1002,1007,10,art4
1002,1008,10,art4
1003,1004,10,art4
1003,1005,10,art4
1003,1006,10,art4
1003,1007,10,art4
1003,1008,10,art4
1004,1005,10,art4
1004,1006,10,art4
1004,1007,10,art4
1004,1008,10,art4
1005,1006,10,art4
1005,1007,10,art4
1005,1008,10,art4
1006,1007,10,art4
1006,1008,10,art4
1007,1008,10,art4
1001,5,10,art4
1101,1102,11,art4
1101,1103,11,art4
1101,1104,11,art4
1101,1105,11,art4
1101,1106,11,art4
1101,1107,11,art4
1101,1108,11,art4
1102,1103,11,art4
1102,1104,11,art4
1102,1105,11,art4
1102,1106,11,art4
1102,1107,11,art4
1102,1108,11,art4
1103,1104,11,art4
1103,1105,11,art4
1103,1106,11,art4
1103,1107,11,art4
1103,1108,11,art4
1104,1105,11,art4
1104,1106,11,art4
1104,1107,11,art4
1104,1108,11,art4
1105,1106,11,art4
1105,1107,11,art4
1105,1108,11,art4
1106,1107,11,art4
1106,1108,11,art4
1107,1108,11,art4
1101,6,11,art4
1201,1202,12,art4
1201,1203,12,art4
1201,1204,12,art4
1201,1205,12,art4
1201,1206,12,art4
1201,1207,12,art4
1201,1208,12,art4
1202,1203,12,art4
1202,1204,12,art4
1202,1205,12,art4
1202,1206,12,art4
1202,1207,12,art4
1202,1208,12,art4
1203,1204,12,art4
1203,1205,12,art4
1203,1206,12,art4
1203,1207,12,art4
1203,1208,12,art4
1204,1205,12,art4
1204,1206,12,art4
1204,1207,12,art4
1204,1208,12,art4
1205,1206,12,art4
1205,1207,12,art4
1205,1208,12,art4
1206,1207,12,art4
1206,1208,12,art4
1207,1208,12,art4
1201,6,12,art4
