from,to,community,graphName
0,1,0,art9
0,2,0,art9
0,3,0,art9
0,4,0,art9
0,5,0,art9
0,6,0,art9
101,102,1,art9
101,103,1,art9
101,104,1,art9
102,1,1,art9
201,202,2,art9
201,203,2,art9
201,204,2,art9
202,1,2,art9
301,303,3,art9
301,304,3,art9
302,303,3,art9
302,304,3,art9
301,2,3,art9
401,403,4,art9
401,404,4,art9
402,403,4,art9
402,404,4,art9
401,2,4,art9
501,503,5,art9
501,504,5,art9
501,505,5,art9
502,503,5,art9
502,504,5,art9
502,505,5,art9
503,3,5,art9
601,603,6,art9
601,604,6,art9
601,605,6,art9
602,603,6,art9
602,604,6,art9
602,605,6,art9
603,3,6,art9
701,705,7,art9
702,705,7,art9
703,705,7,art9
704,705,7,art9
701,4,7,art9
801,804,8,art9
802,804,8,art9
803,804,8,art9
801,4,8,art9
901,902,9,art9
901,903,9,art9
901,904,9,art9
901,905,9,art9
901,906,9,art9
901,907,9,art9
902,903,9,art9
902,904,9,art9
902,905,9,art9
902,906,9,art9
902,907,9,art9
903,904,9,art9
903,905,9,art9
903,906,9,art9
903,907,9,art9
904,905,9,art9
904,906,9,art9
904,907,9,art9
905,906,9,art9
905,907,9,art9
906,907,9,art9
901,5,9,art9
1001,1002,10,art9
1001,1003,10,art9
1001,1004,10,art9
1001,1005,10,art9
1002,1003,10,art9
1002,1004,10,art9
1002,1005,10,art9
1003,1004,10,art9
1003,1005,10,art9
1004,1005,10,art9
1001,5,10,art9
1101,1102,11,art9
1101,1103,11,art9
1101,1104,11,art9
1101,1105,11,art9
1102,1103,11,art9
1102,1104,11,art9
1102,1105,11,art9
1103,1104,11,art9
1103,1105,11,art9
1104,1105,11,art9
1101,6,11,art9
1201,1202,12,art9
1201,1203,12,art9
1201,1204,12,art9
1201,1205,12,art9
1201,1206,12,art9
1202,1203,12,art9
1202,1204,12,art9
1202,1205,12,art9
1202,1206,12,art9
1203,1204,12,art9
1203,1205,12,art9
1203,1206,12,art9
1204,1205,12,art9
1204,1206,12,art9
1205,1206,12,art9
1201,6,12,art9
