from,to,community,graphName
0,1,0,art5
0,2,0,art5
0,3,0,art5
0,4,0,art5
0,5,0,art5
0,6,0,art5
101,102,1,art5
101,103,1,art5
101,104,1,art5
101,105,1,art5
102,103,1,art5
102,104,1,art5
102,105,1,art5
103,104,1,art5
103,105,1,art5
104,105,1,art5
101,1,1,art5
201,202,2,art5
201,203,2,art5
201,204,2,art5
201,205,2,art5
201,206,2,art5
201,207,2,art5
201,208,2,art5
202,203,2,art5
202,204,2,art5
202,205,2,art5
202,206,2,art5
202,207,2,art5
202,208,2,art5
203,204,2,art5
203,205,2,art5
203,206,2,art5
203,207,2,art5
203,208,2,art5
204,205,2,art5
204,206,2,art5
204,207,2,art5
204,208,2,art5
205,206,2,art5
205,207,2,art5
205,208,2,art5
206,207,2,art5
206,208,2,art5
207,208,2,art5
201,1,2,art5
301,302,3,art5
301,303,3,art5
301,304,3,art5
301,305,3,art5
302,303,3,art5
302,304,3,art5
302,305,3,art5
303,304,3,art5
303,305,3,art5
304,305,3,art5
301,2,3,art5
401,402,4,art5
401,403,4,art5
401,404,4,art5
401,405,4,art5
401,406,4,art5
401,407,4,art5
401,408,4,art5
402,403,4,art5
402,404,4,art5
402,405,4,art5
402,406,4,art5
402,407,4,art5
402,408,4,art5
403,404,4,art5
403,405,4,art5
403,406,4,art5
403,407,4,art5
403,408,4,art5
404,405,4,art5
404,406,4,art5
404,407,4,art5
404,408,4,art5
405,406,4,art5
405,407,4,art5
405,408,4,art5
406,407,4,art5
406,408,4,art5
407,408,4,art5
401,2,4,art5
501,502,5,art5
501,503,5,art5
501,504,5,art5
501,505,5,art5
502,503,5,art5
502,504,5,art5
502,505,5,art5
503,504,5,art5
503,505,5,art5
504,505,5,art5
501,3,5,art5
601,602,6,art5
601,603,6,art5
601,604,6,art5
601,605,6,art5
601,606,6,art5
601,607,6,art5
601,608,6,art5
602,603,6,art5
602,604,6,art5
602,605,6,art5
602,606,6,art5
602,607,6,art5
602,608,6,art5
603,604,6,art5
603,605,6,art5
603,606,6,art5
603,607,6,art5
603,608,6,art5
604,605,6,art5
604,606,6,art5
604,607,6,art5
604,608,6,art5
605,606,6,art5
605,607,6,art5
605,608,6,art5
606,607,6,art5
606,608,6,art5
607,608,6,art5
601,3,6,art5
701,702,7,art5
701,703,7,art5
701,704,7,art5
701,705,7,art5
702,703,7,art5
702,704,7,art5
702,705,7,art5
703,704,7,art5
703,705,7,art5
704,705,7,art5
701,4,7,art5
801,802,8,art5
801,803,8,art5
801,804,8,art5
801,805,8,art5
801,806,8,art5
801,807,8,art5
801,808,8,art5
802,803,8,art5
802,804,8,art5
802,805,8,art5
802,806,8,art5
802,807,8,art5
802,808,8,art5
803,804,8,art5
803,805,8,art5
803,806,8,art5
803,807,8,art5
803,808,8,art5
804,805,8,art5
804,806,8,art5
804,807,8,art5
804,808,8,art5
805,806,8,art5
805,807,8,art5
805,808,8,art5
806,807,8,art5
806,808,8,art5
807,808,8,art5
801,4,8,art5
901,902,9,art5
901,903,9,art5
901,904,9,art5
901,905,9,art5
902,903,9,art5
902,904,9,art5
902,905,9,art5
903,904,9,art5
903,905,9,art5
904,905,9,art5
901,5,9,art5
1001,1002,10,art5
1001,1003,10,art5
1001,1004,10,art5
1001,1005,10,art5
1001,1006,10,art5
1001,1007,10,art5
1001,1008,10,art5
1002,1003,10,art5
1002,1004,10,art5
1002,1005,10,art5
1002,1006,10,art5
1002,1007,10,art5
1002,1008,10,art5
1003,1004,10,art5
1003,1005,10,art5
1003,1006,10,art5
1003,1007,10,art5
1003,1008,10,art5
1004,1005,10,art5
1004,1006,10,art5
1004,1007,10,art5
1004,1008,10,art5
1005,1006,10,art5
1005,1007,10,art5
1005,1008,10,art5
1006,1007,10,art5
1006,1008,10,art5
1007,1008,10,art5
1001,5,10,art5
1101,1102,11,art5
1101,1103,11,art5
1101,1104,11,art5
1101,1105,11,art5
1102,1103,11,art5
1102,1104,11,art5
1102,1105,11,art5
1103,1104,11,art5
1103,1105,11,art5
1104,1105,11,art5
1101,6,11,art5
1201,1202,12,art5
1201,1203,12,art5
1201,1204,12,art5
1201,1205,12,art5
1201,1206,12,art5
1201,1207,12,art5
1201,1208,12,art5
1202,1203,12,art5
1202,1204,12,art5
1202,1205,12,art5
1202,1206,12,art5
1202,1207,12,art5
1202,1208,12,art5
1203,1204,12,art5
1203,1205,12,art5
1203,1206,12,art5
1203,1207,12,art5
1203,1208,12,art5
1204,1205,12,art5
1204,1206,12,art5
1204,1207,12,art5
1204,1208,12,art5
1205,1206,12,art5
1205,1207,12,art5
1205,1208,12,art5
1206,1207,12,art5
1206,1208,12,art5
1207,1208,12,art5
1201,6,12,art5
