from,to,community,graphName
0,1,0,art1
0,2,0,art1
0,3,0,art1
0,4,0,art1
0,5,0,art1
0,6,0,art1
101,102,1,art1
101,103,1,art1
101,104,1,art1
101,105,1,art1
102,103,1,art1
102,104,1,art1
102,105,1,art1
103,104,1,art1
103,105,1,art1
104,105,1,art1
101,1,1,art1
201,202,2,art1
201,203,2,art1
201,204,2,art1
201,205,2,art1
202,203,2,art1
202,204,2,art1
202,205,2,art1
203,204,2,art1
203,205,2,art1
204,205,2,art1
201,1,2,art1
301,302,3,art1
301,303,3,art1
301,304,3,art1
301,305,3,art1
302,303,3,art1
302,304,3,art1
302,305,3,art1
303,304,3,art1
303,305,3,art1
304,305,3,art1
301,2,3,art1
401,402,4,art1
401,403,4,art1
401,404,4,art1
401,405,4,art1
402,403,4,art1
402,404,4,art1
402,405,4,art1
403,404,4,art1
403,405,4,art1
404,405,4,art1
401,2,4,art1
501,502,5,art1
501,503,5,art1
501,504,5,art1
501,505,5,art1
502,503,5,art1
502,504,5,art1
502,505,5,art1
503,504,5,art1
503,505,5,art1
504,505,5,art1
501,3,5,art1
601,602,6,art1
601,603,6,art1
601,604,6,art1
601,605,6,art1
602,603,6,art1
602,604,6,art1
602,605,6,art1
603,604,6,art1
603,605,6,art1
604,605,6,art1
601,3,6,art1
701,702,7,art1
701,703,7,art1
701,704,7,art1
701,705,7,art1
702,703,7,art1
702,704,7,art1
702,705,7,art1
703,704,7,art1
703,705,7,art1
704,705,7,art1
701,4,7,art1
801,802,8,art1
801,803,8,art1
801,804,8,art1
801,805,8,art1
802,803,8,art1
802,804,8,art1
802,805,8,art1
803,804,8,art1
803,805,8,art1
804,805,8,art1
801,4,8,art1
901,902,9,art1
901,903,9,art1
901,904,9,art1
901,905,9,art1
902,903,9,art1
902,904,9,art1
902,905,9,art1
903,904,9,art1
903,905,9,art1
904,905,9,art1
901,5,9,art1
1001,1002,10,art1
1001,1003,10,art1
1001,1004,10,art1
1001,1005,10,art1
1002,1003,10,art1
1002,1004,10,art1
1002,1005,10,art1
1003,1004,10,art1
1003,1005,10,art1
1004,1005,10,art1
1001,5,10,art1
1101,1102,11,art1
1101,1103,11,art1
1101,1104,11,art1
1101,1105,11,art1
1102,1103,11,art1
1102,1104,11,art1
1102,1105,11,art1
1103,1104,11,art1
1103,1105,11,art1
1104,1105,11,art1
1101,6,11,art1
1201,1202,12,art1
1201,1203,12,art1
1201,1204,12,art1
1201,1205,12,art1
1202,1203,12,art1
1202,1204,12,art1
1202,1205,12,art1
1203,1204,12,art1
1203,1205,12,art1
1204,1205,12,art1
1201,6,12,art1
