from,to,community,graphName
0,1,0,art3
0,2,0,art3
0,3,0,art3
0,4,0,art3
0,5,0,art3
0,6,0,art3
101,102,1,art3
101,103,1,art3
101,104,1,art3
101,105,1,art3
101,106,1,art3
101,107,1,art3
102,103,1,art3
102,104,1,art3
102,105,1,art3
102,106,1,art3
102,107,1,art3
103,104,1,art3
103,105,1,art3
103,106,1,art3
103,107,1,art3
104,105,1,art3
104,106,1,art3
104,107,1,art3
105,106,1,art3
105,107,1,art3
106,107,1,art3
101,1,1,art3
201,202,2,art3
201,203,2,art3
201,204,2,art3
201,205,2,art3
201,206,2,art3
201,207,2,art3
202,203,2,art3
202,204,2,art3
202,205,2,art3
202,206,2,art3
202,207,2,art3
203,204,2,art3
203,205,2,art3
203,206,2,art3
203,207,2,art3
204,205,2,art3
204,206,2,art3
204,207,2,art3
205,206,2,art3
205,207,2,art3
206,207,2,art3
201,1,2,art3
301,302,3,art3
301,303,3,art3
301,304,3,art3
301,305,3,art3
301,306,3,art3
301,307,3,art3
302,303,3,art3
302,304,3,art3
302,305,3,art3
302,306,3,art3
302,307,3,art3
303,304,3,art3
303,305,3,art3
303,306,3,art3
303,307,3,art3
304,305,3,art3
304,306,3,art3
304,307,3,art3
305,306,3,art3
305,307,3,art3
306,307,3,art3
301,2,3,art3
401,402,4,art3
401,403,4,art3
401,404,4,art3
401,405,4,art3
401,406,4,art3
401,407,4,art3
402,403,4,art3
402,404,4,art3
402,405,4,art3
402,406,4,art3
402,407,4,art3
403,404,4,art3
403,405,4,art3
403,406,4,art3
403,407,4,art3
404,405,4,art3
404,406,4,art3
404,407,4,art3
405,406,4,art3
405,407,4,art3
406,407,4,art3
401,2,4,art3
501,502,5,art3
501,503,5,art3
501,504,5,art3
501,505,5,art3
501,506,5,art3
501,507,5,art3
502,503,5,art3
502,504,5,art3
502,505,5,art3
502,506,5,art3
502,507,5,art3
503,504,5,art3
503,505,5,art3
503,506,5,art3
503,507,5,art3
504,505,5,art3
504,506,5,art3
504,507,5,art3
505,506,5,art3
505,507,5,art3
506,507,5,art3
501,3,5,art3
601,602,6,art3
601,603,6,art3
601,604,6,art3
601,605,6,art3
601,606,6,art3
601,607,6,art3
602,603,6,art3
602,604,6,art3
602,605,6,art3
602,606,6,art3
602,607,6,art3
603,604,6,art3
603,605,6,art3
603,606,6,art3
603,607,6,art3
604,605,6,art3
604,606,6,art3
604,607,6,art3
605,606,6,art3
605,607,6,art3
606,607,6,art3
601,3,6,art3
701,702,7,art3
701,703,7,art3
701,704,7,art3
701,705,7,art3
701,706,7,art3
701,707,7,art3
702,703,7,art3
702,704,7,art3
702,705,7,art3
702,706,7,art3
702,707,7,art3
703,704,7,art3
703,705,7,art3
703,706,7,art3
703,707,7,art3
704,705,7,art3
704,706,7,art3
704,707,7,art3
705,706,7,art3
705,707,7,art3
706,707,7,art3
701,4,7,art3
801,802,8,art3
801,803,8,art3
801,804,8,art3
801,805,8,art3
801,806,8,art3
801,807,8,art3
802,803,8,art3
802,804,8,art3
802,805,8,art3
802,806,8,art3
802,807,8,art3
803,804,8,art3
803,805,8,art3
803,806,8,art3
803,807,8,art3
804,805,8,art3
804,806,8,art3
804,807,8,art3
805,806,8,art3
805,807,8,art3
806,807,8,art3
801,4,8,art3
901,902,9,art3
901,903,9,art3
901,904,9,art3
901,905,9,art3
901,906,9,art3
901,907,9,art3
902,903,9,art3
902,904,9,art3
902,905,9,art3
902,906,9,art3
902,907,9,art3
903,904,9,art3
903,905,9,art3
903,906,9,art3
903,907,9,art3
904,905,9,art3
904,906,9,art3
904,907,9,art3
905,906,9,art3
905,907,9,art3
906,907,9,art3
901,5,9,art3
1001,1002,10,art3
1001,1003,10,art3
1001,1004,10,art3
1001,1005,10,art3
1001,1006,10,art3
1001,1007,10,art3
1002,1003,10,art3
1002,1004,10,art3
1002,1005,10,art3
1002,1006,10,art3
1002,1007,10,art3
1003,1004,10,art3
1003,1005,10,art3
1003,1006,10,art3
1003,1007,10,art3
1004,1005,10,art3
1004,1006,10,art3
1004,1007,10,art3
1005,1006,10,art3
1005,1007,10,art3
1006,1007,10,art3
1001,5,10,art3
1101,1102,11,art3
1101,1103,11,art3
1101,1104,11,art3
1101,1105,11,art3
1101,1106,11,art3
1101,1107,11,art3
1102,1103,11,art3
1102,1104,11,art3
1102,1105,11,art3
1102,1106,11,art3
1102,1107,11,art3
1103,1104,11,art3
1103,1105,11,art3
1103,1106,11,art3
1103,1107,11,art3
1104,1105,11,art3
1104,1106,11,art3
1104,1107,11,art3
1105,1106,11,art3
1105,1107,11,art3
1106,1107,11,art3
1101,6,11,art3
1201,1202,12,art3
1201,1203,12,art3
1201,1204,12,art3
1201,1205,12,art3
1201,1206,12,art3
1201,1207,12,art3
1202,1203,12,art3
1202,1204,12,art3
1202,1205,12,art3
1202,1206,12,art3
1202,1207,12,art3
1203,1204,12,art3
1203,1205,12,art3
1203,1206,12,art3
1203,1207,12,art3
1204,1205,12,art3
1204,1206,12,art3
1204,1207,12,art3
1205,1206,12,art3
1205,1207,12,art3
1206,1207,12,art3
1201,6,12,art3
