from,to,community,graphName
0,1,0,art15
0,2,0,art15
0,3,0,art15
0,4,0,art15
0,5,0,art15
0,6,0,art15
101,102,1,art15
101,103,1,art15
101,104,1,art15
101,105,1,art15
101,106,1,art15
101,107,1,art15
101,108,1,art15
101,109,1,art15
102,1,1,art15
201,205,2,art15
201,206,2,art15
202,205,2,art15
202,206,2,art15
203,205,2,art15
203,206,2,art15
204,205,2,art15
204,206,2,art15
201,1,2,art15
301,302,3,art15
301,303,3,art15
301,304,3,art15
301,305,3,art15
301,306,3,art15
301,307,3,art15
301,308,3,art15
301,309,3,art15
302,2,3,art15
401,405,4,art15
401,406,4,art15
402,405,4,art15
402,406,4,art15
403,405,4,art15
403,406,4,art15
404,405,4,art15
404,406,4,art15
401,2,4,art15
501,502,5,art15
501,503,5,art15
501,504,5,art15
501,505,5,art15
501,506,5,art15
501,507,5,art15
501,508,5,art15
501,509,5,art15
502,3,5,art15
601,605,6,art15
601,606,6,art15
602,605,6,art15
602,606,6,art15
603,605,6,art15
603,606,6,art15
604,605,6,art15
604,606,6,art15
601,3,6,art15
701,702,7,art15
701,703,7,art15
701,704,7,art15
701,705,7,art15
701,706,7,art15
701,707,7,art15
701,708,7,art15
701,709,7,art15
702,4,7,art15
801,805,8,art15
801,806,8,art15
802,805,8,art15
802,806,8,art15
803,805,8,art15
803,806,8,art15
804,805,8,art15
804,806,8,art15
801,4,8,art15
901,902,9,art15
901,903,9,art15
901,904,9,art15
901,905,9,art15
901,906,9,art15
901,907,9,art15
901,908,9,art15
901,909,9,art15
902,5,9,art15
1001,1005,10,art15
1001,1006,10,art15
1002,1005,10,art15
1002,1006,10,art15
1003,1005,10,art15
1003,1006,10,art15
1004,1005,10,art15
1004,1006,10,art15
1001,5,10,art15
1101,1102,11,art15
1101,1103,11,art15
1101,1104,11,art15
1101,1105,11,art15
1101,1106,11,art15
1101,1107,11,art15
1101,1108,11,art15
1101,1109,11,art15
1102,6,11,art15
1201,1205,12,art15
1201,1206,12,art15
1202,1205,12,art15
1202,1206,12,art15
1203,1205,12,art15
1203,1206,12,art15
1204,1205,12,art15
1204,1206,12,art15
1201,6,12,art15
