from,to,community,graphName
0,1,0,art16
0,2,0,art16
0,3,0,art16
0,4,0,art16
0,5,0,art16
0,6,0,art16
101,103,1,art16
101,104,1,art16
102,103,1,art16
102,104,1,art16
101,1,1,art16
201,203,2,art16
201,204,2,art16
202,203,2,art16
202,204,2,art16
201,1,2,art16
301,303,3,art16
301,304,3,art16
302,303,3,art16
302,304,3,art16
301,2,3,art16
401,403,4,art16
401,404,4,art16
402,403,4,art16
402,404,4,art16
401,2,4,art16
501,503,5,art16
501,504,5,art16
502,503,5,art16
502,504,5,art16
501,3,5,art16
601,603,6,art16
601,604,6,art16
602,603,6,art16
602,604,6,art16
601,3,6,art16
701,703,7,art16
701,704,7,art16
702,703,7,art16
702,704,7,art16
701,4,7,art16
801,803,8,art16
801,804,8,art16
802,803,8,art16
802,804,8,art16
801,4,8,art16
901,903,9,art16
901,904,9,art16
902,903,9,art16
902,904,9,art16
901,5,9,art16
1001,1003,10,art16
1001,1004,10,art16
1002,1003,10,art16
1002,1004,10,art16
1001,5,10,art16
1101,1103,11,art16
1101,1104,11,art16
1102,1103,11,art16
1102,1104,11,art16
1101,6,11,art16
1201,1203,12,art16
1201,1204,12,art16
1202,1203,12,art16
1202,1204,12,art16
1201,6,12,art16
